aback|شاته
adore|بې شانه مینه لرل
adorn|ښکلل
adorned|مزين
adorned|ډولي
adornment|سينګار
adult|ځوان
adult|ځوان
adulterate|خرابول
adulterated|ناصافه
adulteration|تحريف
adulterer|بدکاره
adulterer|زاني
adulterer|زناکاره
adulteress|زناکاره
adultery|زنا
advance|وړاندي تګ
advance|وړانديوالی
advanced|مترقي
advancement|وړاندي تګ
advancement|وړانديوالی
advancement|پرمختيا
advantage|مزيت
advantage|ممر
advantage|منفعت
advantage|وست
advantage|وړ
advantage|وېله
advantageous|مفيد
advantageous|نافع
adversary|حريف
adverse|مغاير
adversely|په بدمرغی سره
adversity|بدمرغي
adversity|بې بختي
adversity|شامت
adversity|فلاکت
advertise|اعلانول
advertisement|څرګندونه
advice|پند
advice|توصيه
advice|سپارښت
advice|نصيحت
advice|ورم
advice|سپارښتنه
advisable|مقتضي
advise|مشورت
advise|مشوره
adviser|مستشار
adviser|ناصح
adviser|استاذ
advisory|مشورتي
adze|تښځ
adze|تېشه
adze|کهۍ
aerial|فضايي
aerial|هوايي
aeronaut|هوانورد
aeroplane|الوتکه
afar|ورا
affable|خوش طبعه
affable|خوشخويه
affable|مهربان
affair|
affairs|اوامر
affairs|کاروبار
affect|تاثير لرل
affected|مصاب
affection|حب
affection|عاطفه
affection|علاقه
affection|محبت
affection|مهر
affection|مينه
affection|مينه
affectionate|مينه ناک
affinity|علاقه درلودنه
affirmative|مثبت
affix|ضمیمه کول
affixing|الحاق
afflicted|زړه ستړی
afflicted|زړه شينی
afflicted|غم زپلی
afflicted|لتاړ
afflicted|نتلی
affliction|درنه
affliction|مصيبت
affluence|نعمت
afghan|افغاني
afghan|روهيلی
afghan|اوغان
afghan|اپغان
afloat|لاهو
aforementioned|نومړ
afraid|وېرېدلی
afraid|ويريدلى
africa|افريقا
after|ماورا
after|ورسته
after|ورستو
after|وروسته
after|پس
after|د ... پسی
afternoon|ماسپښين
again|بېرته
again|دسره
again|دوباره
again|واپس
again|دوباره
again|له سره
against|پرضد
against|ضد
against|مقابل
against|پر/په بډ
against|خلاف
age|زمانه
age|سن
age|عصر
age|عمر
age|منګ
age|عمر
aged|معمر
agency|ايجنسي
agency|آژانس
agency|نمايندګي
agency|وسيله
agency|وکالت
agent|عامل
agent|مخبر
agent|نماينده
aggregation|تجمع
aggression|تجاوز
aggression|تعرض
aggression|تېری
aggressive|متجاوز
aggressive|متعرض
agitation|لمسه
agitation|لمسون
agony|زکندن
agony|ځنکدن
agony|دړ
agreeable|موافق
agreeing|موافق
agreement|اګريمان
agreement|تطابق
agreement|توافق
agreement|جوړه
agreement|خوښه
agreement|خوښي
agreement|قبول
agreement|قرارداد
agreement|مرضي
agreement|مطابقت
agreement|معاهده
agreement|مقاوله
agreement|مننه
agreement|موافقت
agreement|موافقتنامه
agreement|موافقه
agreement|ميثاق
agreement|هوکه
agreement|هوکړه
agricultural|زراعتي
agriculture|کر
agriculture|کرنه
agriculture|کرنګ
agriculture|کرهڼه
ague|سړه لوه
ah|واخ
ah|ويش
ahead|وړاندې
aid|تساند
aid|خواګی
aid|کمک
aid|کومک
aid|مدد
aid|مساعدت
aid|معاون
aid|معاونت
aid|همکار
aid|همکاري
aid|مرسته کول
aide|ياور
aiding|ممد
aids|اېډز
ailing|ناروغ
ailment|نونڅه
aim|مطالب
aim|مطلب
aim|مقصد
aim|منظور
aim|موخه
aim|هدف
air|هوا
airborne|هوايي
airfield|هوايی ميدان
airing|هواخوري
airplane|طياره
airport|هوايي اډه
airport|هوايي ډ گر
airport|هوایي ډګر
ajar|ويت
alarm|هراس
alarm|وېره
alas|هی
alas|واخ
albania|البانيايي
albino|خدری
album|البم
albumin|البومين
alcohol|شراب
alcoholic|شرابي
alembic|انبيق
alert|څک
alertness|ويښتيا
alfalfa|شپيشتې
algebra|جبر
algebraic|جبري
algeria|الجيريه
algerian|الجيريايي
alien|پردی
alighting|نزول
alike|همرنګه
alike|همشکل
alike|يوراز
alike|يورنګه
alike|يوشان
alike|يوشانته
alimentary|غذايي
alimony|نفقه
alive|ژوندی
alive|ژوندۍ
all|درست
all|غونډ
all|کرۍ
all|له مخې
all|يومخيز
all|يومخې
all|ټول
all|ګرده
all|ګرسره
all|واړه
allay|ستېدل
allegation|تور لګول
allegiance|بيعت
allegory|مجاز
allergy|حساسيت
alley|کوڅه
alliance|اتفاق
alliance|يووالی
allied|متفق
alligator|سيمساره
allocate|ټاکل؛ تخصیص ورکول
allocated|اختصاصي
allocation|اختصاص
allot|ویشل؛ برخه تاکل؛ تخصیص ورکول
allotment|تخصيصيه
allow|پريښودل
allowable|روا
allowable|مباح
allowance|منظوري
allowed|مجاز
alloy|مفرغ
alloyed|ګډ
allurement|تطميع
allusion|کنايه
ally|ملګری
almanac|تقويم
almighty|حق تعالی
almond|لوښتی
almond|ورلښتی
almond|ورښتی
almost|تقريبأ
alms|زکات
alms|سخات
alms|صدقه
alone|ناتکی
alone|يوازې
alone|يواځې
alone|ځانګړی
alone|څړه
alone|ګوښی
aloneness|ځانګړتيا
along|علاوه پردې،برسیره پردې،
aloofness|ليريوالی
aloud|هسک
alphabet|توري
alphabets|توري
already|پخوا
alright|ښه
also|علاوه پردې،برسیره پردې،
altar|محراب
alteration|تبديل
alteration|تغيير
altercate|لانجه کول
altercation|ناندرۍ
alternation|تناوب
alternative|بديل
although|که څه هم
altitude|اوچتوالی
altitude|جګوالی
altitude|لوړتيا
altitude|لوړوالی
altogether|يومخې
altogether|ګرسره
altogether|ټول
alum|زاج
alum|زنځ
aluminium|المونيم
always|شامدام
always|مدام
always|هميش
always|هميشه
amalgam|ملمع
amass|ټولول،
amateur|شوقي
amaze|اريانېدل
amazed|اک پک
amazed|اېښ پېښ
amazed|حيران
amazed|شاولي واولي
amazed|لل ګل
amazed|متحير
amazed|منګ
amazed|هريان
amazed|هک پک
amazed|هک دک
amazed|هېښ
amazement|تعجب
amazement|حيرت
amazement|هېښه
amazement|هېښتيا
amazing|جالب
ambassador|صفير
amber|کهربا
ambergris|عنبر
ambiguity|ابهام
ambiguous|مبهم
ambition|همت
ambitious|خود غرض(جاه طلب)
amble|پاپړتګ کول
ambrosia|خوندور
ambulance|امبولانس
ambuscade|څوروی
ambush|څوروی
amen|آمين
amend|اصلاح کول
amendment|ترميم
amendment|تعديل
amends|جبران
america|امريکا
american|امريکايي
ammonia|امونيا
ammunition|ګوله بارود
amnesty|عافى
among|منځ
amongst|منځ
amorist|مين
amorously|عاشقانه
amortisation|زیرمه
amount|اندواره
amount|مبلغ
amount|مقدار
amphibians|ذوحياتين
amplitude|وسعت
amulet|تعويذ
amusement|تماشه
amusement|ساتېری
amusement|سرګرمي
amusement|مشغولا
amusing|کميک
an|يو
anachronism|دنېټې غلطونه
analgesic|درد غـلى كوونكى دارو
analogical|قياسي
analogous|مشابه
analogy|قياس
analyse|شنل
analysis|تحليل
analysis|حل
analysis|شننه
analysis|تجزيه
analyst|ازمويونكى
analyst|تحليلوونكى
analyst|شنونكى
analyst|شنونكې
anarchism|انارشيزم
anarchist|خپل سری
anarchist|خپل مخی
anarchy|خپل سري
anarchy|بی قانونی
anarchy|ګډوډي
anatomy|اناټومي
ancestor|جد
ancestor|سرنيکه
ancestral|اجدادي
anchor|لنګر
ancient|پخوانی
ancient|قديم
ancient|قديمي
ancient|لرغون
ancient|لرغونی
ancient|متقدم
ancient|لرغونى
ancient|لرغونئ
ancients|قدما
and|او
androgynous|ايز
androgynous|ايزک
anecdote|حکايت
anemia|کم خوني
anemone|ریدی ګل
angel|ملک
angel|پرښته
angels|پرښتې
anger|خروښ
anger|خشم
anger|خښم
anger|دوګ
anger|زړه بدی
anger|عیبانيت
anger|غصه
anger|غضب
anger|قهر
anger|څاڅ
anger|ځاخ
anger|ځاځ
anger|غوسه
anger|پارېدنه
angered|پړسېدلی
angle|ګوټ
angola|انګولا
angolan|انګوليايي
angry|برګېدل
angry|دړدېدل
angry|قهرجن
angry|مرور
angry|ځاځمن
angry|ځاځمنه
anguish|کړاو
anguished|کړمن
angular|ګوټيز
animal|حيوان
animal|حيواني
animal|ژوی
animal|ژوې
animals|ژوي
animate|ژوندی کول؛ حرکت کول
animation|هيجان
animosity|هډماتي
aniseed|باديان
aniseed|خواږه ولني
ankle|شنګری
ankle|ښونګری
anklet|خپه بند
annex|لاحقه
annexation|ملحقات
annihilated|نابود
annihilation|فنا
annihilation|نابودي
anniversary|کاليزه
anniversary|کليزه
annotation|پايليک
announce|څرګندول
announcement|اعلام
announcer|نطاق
annoy|بړوسول
annoyed|کړند
annoyed|مکدر
annoyed|ناخوښه
annually|کالنۍ
annul|فسخول
annulled|ملغی
annulment|فسخ
anomalous|بل شانته
anonymous|بي نومه
answer|غبرګون
answer|ځواب
ant|ميږي
antagonism|ضديت
antagonism|مخالفت
anteater|مېږکۍ
antecedent|سابقه
antelope|هوسۍ
antenna|انتن
anthology|ګلچين
anthracite|انتراسيت
anthropology|بشر پېژندنه
anthropology|بشر شناسي
anthropology|انسان پيژندنه
anti|ضد
anti|خلاف
antibiotic|انتي بيوتيک
anticipation|توقع
anticyclone|انتي سايکلون
antidote|ټکور
antipathy|بد وړنه
antique|انتيک
antiquity|لرغونتوب
antiseptic|انتي سېپتيک
antithesis|تضاد
anus|کونه
anvil|سندان
anxiety|اضطراب
anxiety|تاخون
anxiety|تشويش
anxiety|سودا
anxiety|غم
anxiety|لړبکه
anxiety|نواړه
anxiety|نول
anxiety|ګروم
anxious|مشتاق
anxious|نولجن
anxious|ډبډبنی
anxious|ګرومجن
any|هر
anymore|زياتي
apart|ارت
apart|ارت
apartment|اپارتمان
apathy|بی دردی
aperture|سوری
apex|څوکه؛ لوړه نقطه
aphid|ګوڼی
aphorism|وجيزه
aphrodisiac|شهوتي
apogee|اوج
apolitical|غيرسياسي
apology|معذرت
apology|ننواته
apology|ننواتی
apology|وزر
apostate|مرتد
apparatus|دستګاه
apparel|نمري
apparent|جوت
apparent|څرګند
apparently|ظاهراٌ
appeal|التجا
appeal|عرض
appear|ښكاره كيدل
appearance|پيدايښت
appearance|صورت
appearance|منظر
appearance|وجه
appearance|وکر
appearance|ونګه
appearing|اضطراري
appease|قرارول
appellation|مرافعه
appendage|لاحقه
appendicitis|اپنډېڅيت
appendix|ضميمه
appetite|خوا
appetite|لو
appetite|لوه
appetite|لوهه
applaud|ستایل
applause|تحسين
applause|شاباسی
applause|هلهله
apple|سېب
apple|سېب
apple|مړغونې
apple|مڼه
apples|مڼي
appliance|سامان
applicability|انطباق
applicable|منطبق
applicant|عارض
application|تطبيق
application|تطبيقات
application|غوښتنليک
application|کارونه
application|غوښتنپاڼه
application|غوښتنپاڼه
application|کاريال
applied|تطبيقي
apply|تطبيقول
applying|جاسوسي
appoint|ګومارل
appointed|مقررول
appointed|مقررېدل
appointed|منصوب
appointment|تقرر
appreciate|تقديرول
appreciated|دروند
appreciation|قدر داني
appreciative|منندويه
apprehension|تشويش
apprehension|سودا
apprentice|شاګرد
approach|روش
appropriate|مقتضي
appropriate|موزون
appropriated|اختصاصي
appropriation|اختصاص
approval|منظوري
approve|منظورول
approved|منظور
approximate|اټکلي
approximately|تخميني
approximately|قابو
approximately|کابو
approximately|تخمين
approximately|په اټکلي توګه
approximation|تخمين
apricot|مندته
april|اپريل
apron|پېش بند
apt|مستعد
aptitude|استعداد
aquatic|د اوبو
arab|عربي
arabia|عربستان
arabian|عربي
arabic|عربي
arable|مزروعي
arabs|اعراب
arbiter|دريمګړی
arbitrary|اختياري
arbitration|وساطت
arbitrator|منصف
archaeologist|لرغون پېژندونکی
archaeology|لرغون پېژندنه
archaic|قديمي
archipelago|مجمع الجزاير
architect|مهندس
architecture|معماري
archives|اوراق
arctic|شمالی قطب
are|یئ
area|ساحه
area|مساحت
area|مساحه
area|منطقه
arena|ميدان
argue|لانجه کول
argue|دليل ويل
argument|دليل
argumentation|استدلال
argumentation|بحث
arguments|ابحاث
arid|شاړ
arid|لوګه
arise|پورته کېدل
arising|ناشي
aristocracy|ارستوکراسي
aristocrat|ارستوکرات
aristocrats|اشراف
arithmetic|حساب
arm|لېچ
arm|لېچه
arm|لېڅه
arm|مټ
arm|وزر
armament|تسليح
armed|وسله وال
armful|څنګرۍ
arming|تسليح
armistice|متارکه
armour|زغره
armoured|زغريالی
armpit|کوت
arms|حربه
arms|درسته
arms|وسله
army|پوځ
army|عسکر
army|لښکر
aroma|خوشبويي
aromatic|معطر
around|چاپېر
around|چارچاپېره
around|شاوخوا
around|لر او بر
around|چاپېره
around|چاپیره
arrange|اڅڼل
arrange|ترتيبول
arranged|منظم
arrangement|تعبيه
arrangement|تنظيم
arrangement|نظم
arrangement|نظم
arrangement|بندوبست
array|لام
arrest|توقيفول
arrest|ګرفتارول
arrested|ګير
arrival|راتګ
arrival|رارسېدنه
arrival|رسېدنه
arriving|وارد
arrogance|ډونګ
arrogance|ښاڅ
arrogant|کبرجن
arrogant|کلانکاره
arrogant|کلانکاري
arrogant|متکبر
arrogant|غرور
arrogant|ښاڅمن
arrow|غشی
arsenal|جبه خانه
arsenal|کوټ
arsenal|جبه خانه
arsenic|سنکيا
art|فن
art|کمال
art|هنر
art|اچر
art|رسم
artery|شريان
artful|ښوی
article|حرف
article|ماده
article|متاع
article|مضامين
article|مضمون
article|مقاله
articles|ادوات
artifice|نخره
artificial|مصنوعي
artificiality|تصنع
artillery|وسله
artisan|کاسب
artist|رسام
artist|نقاش
artist|هنرمن
artistic|هنري
artless|ساده
arts|صنعت
as|شانتې
as|غوندې
as|لکه
as|منزله
as|هسي
as|وسکه
as|وشمه
as|په توگه
ascendency|باداري
ascending|متصاعد
ascent|ستوغ
ascertainment|ثبوت
ascetic|زاهد
asceticism|زهد
ascribed|منسوب
ash|فولادي
ashamed|خړ
ashamed|زهير
ashamed|زيمته
ashamed|زيير
ashamed|سرټيټی
ashamed|سرځوړی
ashamed|منفعل
ashes|ايرې
ashtray|خاکستردانۍ
ashy|ايرن
aside|غلی غلی خبری کول
ask|غوښتل
asking|متمني
asking|ګروېږنه
asleep|خوبياولی
asleep|ويده
asparagus|منګوروله
aspect|جنبه
aspect|اړخ
asphalt|اسفالټ
aspirant|آرزومن
aspirate|ملفوظ
aspiration|همت
aspire|دزړه له کومی غوښتل؛لوی هیلی لرل
ass|ګېدی
ass|کونه
ass|کونه
assassin|سرګردان
assault|حمله
assault|هور
assault|يرغل
assault|څوټ
assemblage|ګډېره
assemble|راټوليدل
assembly|احتفال
assembly|اسامبله
assembly|جرګه
assembly|غونډه
assembly|مجلس
assembly|مجمع
assembly|محفل
assembly|ټولنه
assembly|جرګه
assent|قبولي
assert|اظهرېدل
assertion|اظهار
assessment|ساو
asset|جايداد
assets|جايداد
assiduity|اجتهاد
assiduous|زحمتکښ
assigned|مقرر
assigned|موظف
assigned|وظيفه دار
assignment|تعيين
assignment|تقرر
assignment|وظيفه
assimilation|تشبيه
assistance|تساند
assistance|کمک
assistance|کومک
assistance|لاس نيوی
assistance|مدد
assistance|مساعدت
assistance|معاونت
assistance|همکاري
assistant|مرستونی
assistant|مرستيال
assistant|مرستی
assistant|معاون
assistant|معين
assisting|امدادي
associate|مل
associated|محشور
association|تداعي
association|چلاو
association|چلند
association|مجمع
association|مراوده
association|معاشرت
association|ناسته پاسته
association|ناسته ولاړه
association|ټولنه
association|ګډير
assume|انګېرل
assumed|فرضي
assumption|اټکل
assumption|فرض
assumption|ګمان
assumption|ګومان
assumption|انګیرنه؛ فرض کونه
assurance|باور
assurance|يقين
assurance|غرور
assurance|ډاډ
assured|خاطرجمع
assured|متيقن
assured|مطمين
assured|ډاډمن
assured|ډاډمنه
asthma|ساتنګي
asthma|سالنډۍ
astonish|حيرانيدل
astonished|اک پک
astonished|اېښ پېښ
astonished|حيران
astonished|شاولي واولي
astonished|متحير
astonished|هريان
astonished|هک پک
astonished|هک دک
astonishment|حيرت
astonishment|هېښه
astounded|حيران
astounded|هريان
astray|بېروه
astray|ګمراه
astringent|ستوخ
astringent|قابض
astrological|نجومي
astrology|ستور پوهنه
astronomy|ستور پوهنه
astute|هوښیار
asylum|ننواته
asylum|ننواتی
atheism|بې ديني
atheist|کافر
atheist|ملحد
athens|اتهْېنۍ
athlete|ورزشکاره
athletics|ورزش
atlas|اتلس
atmosphere|جو
atmosphere|فضا
atmosphere|هوا
atmospheric|هوايي
atom|ايټم
atom|ذره
atomic|ذره
atomic|ذروي
atonement|کفاره
atrocious|سفاک
attache|اتاشه
attached|ملزوم
attachment|علاقه
attachment|وصل
attack|تعرض
attack|حمله
attack|مټېر
attack|هجوم
attack|هور
attack|يرغل
attack|څوټ
attacker|بريدګر
attain|کسبول
attainment|بوده
attempt|سعی
attempt|کوښښ
attempt|هاند
attempt|هلې بلې
attempt|هلې ځلې
attempt|وس
attempt|وسه
attempt|هڅه
attempts|هڅې
attend|حاضريدل
attendance|خسمانه
attendant|حاضرباش
attendant|ملازم
attention|التفات
attention|پام
attention|پاملرنه
attention|پروا
attention|توجه
attention|دقت
attention|مواظبت
attentive|متوجه
attentive|ملتفت
attire|ګاڼۀ؛ سینګارول؛ وراغوستل
attired|سمبالول
attitude|مکیز
attorney|وکيل
attract|جذبول
attraction|جذب
attraction|جلب
attractive|زېبا
attractive|سترګبېجن
attractive|مستانه
attribute|ځانتیا
attributed|منسوب
attributes|اوصاف
attributive|وصفي
auction|مزايده
audacious|بې شرمي
audacity|جسارت
audience|اوريدونکي
auger|برمه
augmentation|تکثر
august|اګست
aunt|توړۍ
aunt|خاله
aurora|شفق
austria|آسټريا
authentic|کره
authentic|موثق
author|مدون
author|مصنف
authoritarian|خپل مخی
authoritative|واکداره
authoritative|واکمن
authoritative|واکوال
authorities|چارواکي
authority|اقتدار
authority|ذيصلاح
authority|سلطه
authority|صلاحيت
authority|قابو
authority|قبضه
authority|کابو
authority|مرجع
authority|واک
authority|تصرف
automatic|اتوماتيک
automatic|پخپله
automobile|موټر
autonomous|خپلواک
autonomy|خپلواکي
autumn|منی
auxiliary|کومکي
auxiliary|مايل
availability|موجوديت
available|موجود
available|ميسر
avalanche|يمال
avarice|حرص
avarice|سراښتوب
avarice|سراښوالی
avaricious|بداروا
avaricious|توزن
avaricious|سراښ
avenge|کسات اخيستل
avenue|خيابان
average|متوسط
average|منځګوړی
averse|مخالف
averse|وېزار
aversion|بېزاري
aversion|کراهت
aversion|کرهه
aversion|نفرت
aversion|نفرين
aversion|ورزو
aviation|هوابازي
aviator|هوانورد
avid|ډوډۍ غړپ
avidity|حرص
avidity|سراښتوب
avidity|سراښوالی
avoidance|احتراز
avoidance|امتناع
avoidance|پرهېز
avoidance|پرېز
awake|بيداري
awake|ويښ
awaken|ويښول
awakened|متنبه
award|جايزه
aware|مطلع
aware|ملتفت
aware|واقف
aware|غوږن
awareness|وقوف
awareness|بيداري
awareness|اکامی
away|بېرته
away|هيسته
awe|سام
awe|هيبت
awkward|شاړشپاړ
awkward|کاړي واړي
awning|سايوان
axe|تبر
axiom|کليه
axis|مدار
aye|ها
azure|نيلي
babble|ويېدل
babbler|باټک
babbler|ويندوکی
babbler|څړپن
baby|ماشوم
back|پرشا
back|شا
back|ملا
back|واپس
back|څټ
backache|ملاخوږی
backbone|شمزۍ
background|دورنما
background|زمينه
background|شاليد
backing|ملاتړ
backpack|بسته
backside|کونه
backstreet|زوړه منطقه
backward|شا
backward|وروسته پاتې
backwards|پرشا
bacterial|ميکروبي
bad|خراب
bad|نابود
bad|ناوړه
bad|ناښه
bad|وران
bad|ښه
badge|نښان
badness|بدي
badness|خرابي
baffle|شنډول
bag|کڅوړه
bagpipe|بين باجه
bail|ضمانت
bake|پخول
baked|پخه
baked|پوخ
baker|بټيارۍ
baker|پخوونکی
baker|نانوای
bakery|نانوايي
balance|بيلانس
balance|ترازو
balance|تعادل
balance|تله
balance|توازن
balance|توله
balance|موازنه
balance|مېزان
balance|برابری
balcony|لوژ
bald|لينډا
bald|څموڅی
bald|ګنجی
bale|ګاټ
ball|توپ
ball|غونډاری
ball|غټی
ball|منډوس
ball|ګولۍ
ball|ګيند
ball|توپ
balloon|بالون
bamboo|باڼس
ban|مصادره
banana|کېله
band|بند
band|غدۍ
bandage|پانسمان
bandage|پنډکۍ
bandage|پټۍ
bandage|وندنی
bandit|شوکمار
bang|تړک
bang|ګړب
bang|ګړز
bang|ګړزول
banged|ګړبېدل
banging|ګړبهار
banging|ګړزهار
bangle|بنګړی
banished|فرارول
banishing|طرد
banishment|نفي
bank|ژۍ
banking|بانکداري
bankrupt|ډېوالي
bankruptcy|مفلسي
banner|بيرق
banner|علم
banquet|دعوت
banquet|روټۍ
banquet|مېلمستيا
banquet|ډوډۍ
bar|چکۍ
bar|ميخانه
bar|ميله
barbarian|بربر
barbaric|وحشي
barbarism|وحشت
barbarity|وحشت
barbecue|کباب
barbed|اغزن
barber|سلماني
barber|نايي
barber|ډم
barber|ډم
barbs|کوړاغ
bare|بربنډ
bare|بربنډول
bare|بربنډېدل
bare|بې ستره
bare|پېڅه
bare|تش تور
bare|لڅ
bare|لڅول
bare|لغړ
barefaced|بې حيا
barefaced|بې شرمي
barefooted|يبل
barely|په مټې
barely|ايله
bareness|بربنډتوب
bargain|قرارداد
bargaining|چنه
bark|غپېدل
barking|غپند
barking|غپهار
barley|وربشه
barn|دغلی امبار
barometer|فشارسنج
barrack|بارک
barracks|قشله
barrel|درمه
barrel|ميل
barrel|ميله
barrel|بېلر
barrelled|دوه نليز
barren|اکړ
barren|الګه
barren|بې ثمره
barren|بې حاصله
barren|خاره
barren|سلنډه
barren|شنډ
barren|عقيم
barren|وچ
barren|وچنه
barrenness|شاړتيا
barrenness|وچتوب
barrenness|وچوالی
barrier|خنډ، مانع
