English|پښتو
Acid Odors|تيزابي بويونه 
acknowledgement|اقرار
ACL (Air Capacity Load)|د الوتکې د بار اخيستلو ظرفيت
ACP (Air Coordination Point)|په هوا کې د کنترول يا انسجام  نقطه 
acquaint|روږدول
acquaintance|اشنا
acquaintance|اشنايي
acquaintance|پېژند ګلوي
acquaintance|شناخت
acquaintance|معرفت
acquainted|روږد
acquire|تحصيلول
acquire|لاس ته راوستل
acquired|اکتسابي
acquittance|برأت
acre|جريب
acre|ايکټار
acrobat|دارباز
acrobat|ډالباز
across from|مخامخ
act|تمثيل
act|عمل
act|فعل
act|کردار
act|عمل کول
act|رفتار کول
act|پیښه
act as a witness|لل
act as a witness|لېيل
act of softening land for cultivation|پغنه
act of watching|ډالۍ
act unfaithfully|بې وفايي کول 
act upon|حاکمين لرل
action|اقدام
action|چلند
action|فعال
action|فال
action |اقدام
activate|فعالول
activate |فعالول
active|فعال
Active|فعال
actively|فعلاً
activities|واگي
activity|فعاليت
activity(ies)|فعاليت(ونه)
actor|ممثل
acts|کړنى
Actually|واقعأ
Actually|واقعي
actually|اصلا
acute|حاد
ADA (Air Defense Artillery)|د دافع هوا توپچي
Adam|باباآدم
adamant|تنګ نظره
Adamkhel|ادمخېل
Adam's apple|رغندی
Adam's apple|غرنده
Adam's apple|غرندی
add|جمع کول
add|جمعه کول
add|زياتول
addenda|ملحقات
addict(s)|معتاد(ين)
addicted|عملي
addicted|معتاد
addicted|مپتلا
addicted|روږد
addicted|معتاد(ه)
addicted to|روږدي
addicted to henbane|بنګي
addiction|اعتياد
addiction|اعتیاد
addiction|روږدېدنه
addition|جمع
addition|علاوه
additional|اضافه
address|ادرس
address|پته
address|خطاب
address|خطابه
address|پته 
address|نښه
addressed|مخاطب
addressed|منادی
addressee|مرسل اليه
ade|قصيده
adesert|نړک
adherence|طرفداري
adherence|وفادارى
adherent|پلوی
adherent|طرفدار
adherent|طرفداره
adjacent|مجاور
adjacent|منجاور
adjacent|منجور
Adjacent Patrols|ګاونډۍ ګزمې
adjective|صفت
adjoining|پرله پوري
adjoining|ملحقات
adjust|تعديلول
adjust|عيارول
Adjustable Loop|عيارېدونکې غوړسه/ عيارېدونکې ول
Adjusting Fire|د ليدو له لاري د انداخت تنظيمول
administration|اداره
administration(s)|دولت(ونه)
administrative|اجرائيه
administrative force|اجرائيه ځواک
admire|ستايل
admissible|منظور
admission|شموليت
admit|غاړه اېښودل
admit|غاړه کېښودل
admit|منل
admit |شاملول
admitted by usage and common law|عرفي
admonish|نصيحت کول
admonition|تنبيه
admonition|اقرار
admonition|نصيحت
admonitor|ناصح
admonitory|عبرتناک
adolescent|ابلوڅ
adolescent|وشند
adolescent      |ځوان(ه)
adopt|غوره کول
adorer|پرست
adorn|سينګارول
adorn|ښکلل
adorn|تزئن کول
adorned|جړاو
adorned|مزين
adorning foil|دړۍ
adult|بالغ
adulterer|زاني
adulterer|زناکاره
adulteress|بدلمنه
adultery|زنا
adustment|تعديل
advance|سلم
advanced|پرمخ تللی
advanced|پرمختګ
advanced|عصري
advancement|ترقي
advancement|پرمختيا
advancement|پيشرفت
advancement |پرمختګ
advantage|مزيت
advantage|امتیاز
advantage|غوره والى
advantage|ګټه
adverb|قيد(ونه)
adverb|قيد
adversary|دښمنداري
adversary|دښمني
adversity|فلاکت
advertise|اعلانول
advertisement|اعلان
advertisement|څرګندونه
advice|پند
advice|نصيحت
advice|سلا
advice|مشوره
advice|نغوږه
advice |سلا مشوره 
advie|مصلحت
advise|مشاوره
advise|مشورت
advise|مشوره
advise|نصيحت کول
advise|توصيه کول
adviser|سلاګر
advisor|مشاور
advisor|سلاح کار
advisor|سلاکار
advisory|مشورتي
adze|تښځ
adze|تېشه
adze|کهۍ
aerial|هوايي
Aerial Resupply|دوباره هوايي اکمالات 
aeronaut|هوانورد
AF Res (Air Force Reserve)|دهوايي قوې  احتياط  
afar|ورا
affable|خوش خلقه
affable|خوش طبعه
affable|خوشخويه
affair|امر
affair|چارو
affair|معامله
affairs|کاروبار
affairs|چارواکي
affairs (pl. obliqued)|چارو
affect|اغېزه کول
affect|تاثير کول
affect|پر...باندې اغيزه کول
affected|مصاب
affected|تأسير
affected|خفه
affected|مپتلا
affected|متأثر
affected|اخته
affected|دوچارئ
affected by|مبتلا
affected by evil sound|ږغن
affected with a mental disorder|لېونسدی
affected with opthalmia|لېچن
affection|عاطفه
affensive|متعرض
affinity|سبب
afflicted|زړه ستړی
afflicted|زړه شينی
afflicted|غم زپلی
affliction|مصيبت
afforemention|نوموړى
Afghan|افغان
Afghan|افغاني
Afghan|روهيلی
Afghan|افغانۍ
Afghan|روپۍ
Afghan clarinet|سرنا
Afghan clarinet|سرنی(ي)
Afghan rice dish|ډنډکی
Afghan tribe|توخي
Afghan tribe|وردګ
Afghaney|افغانۍ
Afghani coin|پول
Afghanistan|افغانستان
afloat|لاهو
aforementioned|نوموړی
afraid|وېرېدل
Africa|افريقا
after|پسې
after|بعد
after|د … وروسته
after|پسله
after|پسې 
after|ورپسې
after noon|ماپښين
after one day|روزبعدي
afternoon|ماپښين (ونه)
afternoon|ماسپښين (ونه)
afternoon reception|عصريه
again|بيا
again|دسره
again|دوباره
again|واپس
again|له سره 
again|د سره
again and again|بيا بيا
against|پرضد
against|پر خلاف
against|په مقابل کى
against|خلاف
against|ضد 
agate|عقيق
age|سن
age|عمر
age|منګ
age|عمر (ونه)
age|موده
age|دوره
aged|مسن
aged|معمر
agency|اژانس
agency|رسنۍ
agency|نمايندګي
agenda|مرام
agenda|مسایل
agent|نماينده
agent (government)|جاسوس(ه)
agents|عاملين
aggression|تجاوز
aggression|تعرض
aggression|تېری
aggression|تاوتريخ والى
aggression|تيری
aggression|استيلا
aggression|يرغل
aggression|لمسون
aggression|پارونه
aggressor|يرغلګر(ه)
agnail|خڅله
ago|مخکی
agony|زکندن
agony of death|ځکندن
agree|موافق
agree|موافقه کول
agree|متفق
agree|تصويب کول
agree |قناعت کول
agree upon…|په...سلا کول
agreeable|موافق
agreeable|مقبول
agreement|اتفاق
agreement|توافق
agreement|مرضي
agreement|موافقت
agreement|موافقتنامه
agreement|موافقه
agreement|ميثاق
agreement|هوکه
agreement|هوکړه
agreement|بحس
agreement|توافق نامی
agreement|تړون
agreement|قراردار
agreement|مطابقت
agreement|تطابق
agricultural|زراعتي
agricultural|کړهڼيز
agriculture|زراعت
agriculture|کرهڼه
agriculture|کرکېله
agriculture|کرنه
agriculture|کرهنه
agriculture|کښت
agriculture |کرهڼه
ague|سړه لوه
ah|ويش
ah|اه
Ahamdzi|احمدزی
ahead|وړاندې
ahead|وړاندي
aid|تساند
aid|مدد
aid|معاونت
aid|پناه
aid|تمول
aid group|مرستندويه ټولنه
Aid Kits|د لومړنيو مرستو قطي
aid organization|خيريه موسسه
aid worker|خيريه کارکوونکی(ې)
aide|ياور
aide|مرستيال
aide organization|اتحاديه
aided camp|ياور
AIDS|اېډز
aim|مرام 
aim|منظور
aim|هدف
aim|مقصد
aim|موخه
aim|هدف(اهداف)
aim|مرام
aim|په نښه کول
air|هوا
Air Assault Formations|د هوايي يرغل  نظام شکلونه
Air Defense Systems|هوايي مدافعوی سيستمونه
Air Force|هوايي قواوه
Air Force|هوايي پوځ
Air Force|هوايي قوه
Air Liaison Officer|هوايي رابط افسر
air transport|هوايي ترانسپورت
Airborne|له هوا څخه را وتلي يا پراشوتي قوتونه
Aircraft Configuration|د الوتکې د بدنې جوړښت
airfield|هوايي ډګر(ونه)
airfield|هوايي ميدان(ونه)
airing|هواخوري
airline|هوايي کرښه
airplane|طياره
airplane|الوتکه
airplane|الوتنه
airport|هوايي ميدان(ونه)
airport|هوايي ډګر(ونه)
airspace|فضا
Airtight|هغه شی چې هوا  ترينه نه وزي 
Air-to-Surface|له هوا څخه  ځمکې ته 
Airway Blockage|د سا ايستلو يا  تنفسي لارې بندښت
airy|هوا داره
aisle seat|د لارې د خوا چوکۍ
ajar|ويت
Akakhel|اکا خېل
Akhond|اخوند
Akhtar|اختر
Ako Bako|اکو بکو
Aladad|الا داد
alarm|تاخون
alas|هيهات
alas|هی
alas|هي هي
alas!|درېغه
albino|خدری
alcohol|می
alcoholic|شرابي
alcoholic|الکهولي
alert|بيداره
alert|تیارسی
alert|ويش
alert|ويښ
Alert Plan|د تيار سئ  يا  خطر اعلامولو پلان 
alertness|بيدار
alfalfa|شپشتې
alfalfa|شپيشتې
alien|پردی(ۍ)
alike|همرنګه
alike|همشکل
alike|يوراز
alike|يورنګه
alike|يوشان
alike|يوشانته
alimony|نفقه
alive|زيتون
alive|ژوندى(ۍ)
all|ټول
all|کرۍ
all|ګرده
all|يومخيز
all|يومخې
all|واړه
all|ټول(ه)
all around|لراوبر
all in all|ټول ټال
all kinds|هر ډول
all out|ښه په درز کې
all over|سرترپايه
all types|هر راز
allay|ستېدل
allegation|مدعا
allegation|ادعا
allegiance|بيعت
allergy|حساسيت
allergy|فرط حساسيت
alley|کوڅه (ې)
alliance|اېتلاف
alliances|تړونونه
alligator|ناکه
Alligator|تمساح (غټ بحري حيوان)
allocate |تخصيص ورکول
allow|اجازه ورکول
allow|پرېښودل
allow|جواز ورکول
allow|منظورول
allow |پرېښوول
allowable|جايز
allowable|روا
allowable|مباح
allowed|مجاز
allowed|حلال
alloy|مفرغ
All-round Security|له هري خوا څخه امنيت ټينګول
allurement|تطميع
allurment|اغوا
All-weather|هر ډول جوي شرايط
almond|بادام
almond|لوښتی
almond|ورلښتی
almond|ورښتی
almond like|بادامي
almost|طقريبأ
almost|تقريباً
almost|کابو
alms|سخات
alms|صدقه
alms|خيرات
alms |زکات
alms distributed at the burial ceremony|اسقاط
alms for the dead|مړشومه
aloes wood|عود
alone|تنها
alone|څړه
alone|ګوښی
alone|يوازې
alone|يواځې
alone|يواجی
alone|ځانګړي
alongside|جوخت
alphosis|پيس
already|پخوا
also|هم
also|بل پلو
also|دغه راز
also|بلکه
also  |همداراز
also  |همدارنګه
altar|محراب
altenate|متناوب
Alternate|نوبتي / متناوب
Alternate Bounds|نوبتي يا  متناوب حرکتونه
alternation|تناوب
alternative|على البدل
alternative|عوضي
alternative substances|د بديل معيشت
although|که څه هم
altimeter|د ارتفاع د سنجولو آله
altitude|ارتفاع
altitude|جګوالی
alum|خورۍ
alum|زاج
alum|زنځ
always|تل
always|شامدام
always|هميش
always|هميشه
always|همېشه
am|يم
amalgam|ملغمه
amalgam|ملمع
amateur|شوقي
amaze|اريانول
amaze|اريانېدل
amazed|اريان
amazed|حيران
amazed|شاولي واولي
amazed|لل ګل
amazed|هريان
amazed|هېښ
amazement|ارياني
amazement|حيرت
amazement|هېښتيا
amazing|جالب
ambassador|سفير
ambassador|صفير
ambassador |سفير
ambergris|عنبر
ambiguity|ابهام
ambition|همت
ambling  horse or mule |يرغه
ambulance|امبولانس
Ambulatory|ګرځنده / خوځنده
ambuscade|څوروی
ambush|خزه
ambush|کمين
ambush|کمين نيول
ambush|کمين کول
Ambush|کمين / مورچل ،  له  کمين څخه حمله کول
Ambush Site|د کمين موقعيت 
amendment|اصلاح
amle person with protruding teeth|داړو
Ammo (Ammunition)|مهمات
ammonium chlorde|نوشادر
ammunition|مهمات
ammunition|کارتوس
Ammunition Bearer|د مهماتو وړونکې  يا انتقالونکی 
amnesty|عافی
amnesty|معافيت
among yourselves|خپل مينځي
amorously|عاشقانه
amount|مبلغ
amount|مقدار
amount|اندازه
amphibians|ذوحياتين
amulet|تعويذ
amusement|سرګرمي
amusement|مشغولا
aN|پېش بند
An Arm's Length|د يوې  لېڅې په اندازه اوږدوالی 
analogical|قياسي
analogy|قياس
analyse|تحليلول
analysis|تجزيه
analysis|تحليل
analysis|تحلیل او تجزیه
analyst(s)|متخصص(ين)
analytic geometry|تحليلي هندسه
analyze|تحلیلول
anarchy|ګډوډي
anarchy|گډوډي
ancestral|اجدادي
ancesttors|اجداد
anchor|لنګر
anchor|لنګر اچول
Anchor Point|د استناد يا لنګر نقطه 
anchorman|نطاق
ancient|پخوانی
ancient|قديم
ancient|لرغون
ancient|لرغونی
ancient|متقدم
ancient|پخواني
ancient|لرغونې
ancient|لرغونى
ancient name of the dwelling place of the Pashtoons|پښتونخوا
ancients|قدما
and|او
anemia|کم خوني
Anemone|ريدي ګل / سيندي ګل
angel|ملايکه
angel|فريښته
anger|خشم
anger|خښم
anger|دوګ
anger|عیبانيت
anger|غصه
anger|غضب
anger|قهر
anger|غوسه
anger|قاد
angle|زاويه
angriness|مرورتوب
angriness|مرورتيا
angry|برګېدل
angry|دړدېدل
angry|قهرجن
angry|مرور
angry|برګ برګ
angry|په قهر(ه)
angry|غصه
angular|ګوټيز
animal|حيوان
animal|حيواني
animal|بوده
animal|حيوان (ات)
animal|مال (ونه)
animal|څاروی
animal harness|کابو
animal husbandry|چوپاني
animal market|نخاس
animal one of whose horns is broken|منډاس
Animal Trails|د حيواناتو په پلونو جوړې شوې  لارې 
animals|ځناور
animated|ژوندي
animosity|دښمنى
aniseed|باديان
aniseed|خواږه ولني
ankle|بجلکه
ankle|شنګری
ankle|ښونګری
ankle bone|بجله
ankle bone|سپښته
anklet|خپه بند
anklet with bells|پايزېب
annex|ملحقات
Annexes and Appendixes|ضميمې او الحا قييي 
annihilated|نابود
annihilation|نابودي
anniversary|تلين
anniversary|کليزه
anniversary|جشن(ونه) 
announce|اعلانول
announcement|ابلاغيه
announcement|اعلامیه
announcement|اعلان
announcement|خبرتيا
annoy|بړوسول
annoyed|زړه خوړينی
annoying person|مزاحم
annually |هر کال
annul|فسخول
annul|فسخ کول
annulled|ملغی
annulment|بطلان
another|بل
answer|جواب
answer|ځواب
ant|مېږی
ant|ميږي
ant fabric of loose weave|شوړتک
antadonistic|مخاصم
antagonism|ضديت
antagonistic|د مخالفت
antagonize|مخالف کول
anteater|مېږکۍ
antecedent|سابقه
anthill|مېږتون
anthology|ګلچين
anthropology|بشر پېژندنه
anthropology|بشر شناسي
anti|پر خلاف
anti|ضد
anti-aircraft|دافع هوا
anticipate|سترګې په لاره کېدل
antidote|زارموره
anti-feeling, numb|ضد احساسات
antimony eye slave|رانجه
anti-poison|ترياق
antique|لرغون
antique|انتيک
antiquity|لرغونتوب
antonymes|اضداد
anus|ارغۍ
anvil|سندان
anxiety|اشتياق
anxiety|تشويش
anxiety|غم
anxiety|ګروم
anxiety|احساساتی
anxiety|اندیښمن
anxiety|اندیښنه
anxiety|هیجانی
anxiety|انديښنه
anxious|ډبډبنی
any kind of cooked food|کتغ
any kind of cooked food|نګولی
any of various beetles or bugs|خزدکه
anything edible|روزي
anyway|بې له هغې نه هم
AO (Area of Operation)|د عملياتو ساحه
apart|جلا
apart|جودا
apartment|اپارتمان
apartment|اپارتمان (ونه)
APC|زرهپوښ
APC|زري دار ټانک
APC|نفر وړونکى ټانک
Apex|څوکه / را ﺌس
aphid|ګوڼی
aphorism|وجيزه
apine|ناجو
apoint|ډومارل
apologize|معذرت کول
apology|ننواته
apology|ننواتی
apology|معذرت
apology|عذر
apostate|مرتد
apparatus|دستګاه
apparent|برسير
apparent|واضح
apparent|ظاهر
apparently|ظاهرأ
appeal|استيناف
appeal|اپيل
appear|څرګنديدل
appear|ښکاره کول
appear|راښکاره کيدل
appear|ښکارېدل
appear|راميدان ته کيدل
appear|راڅرګندېدل
appear*|ښکارېدل
appearance|پيدايښت
appearance|وکر
appearance|نښې نښانې
appearance|شقل
appearance|ظاهر
appearance|کره وره
appearance|ښکاره
appellate court|مرافعه
appendicitis|اپنډېڅيت
appendix|اپنډېکس
appetite|اشتها
appetite|لو
appetite|لوه
appetite|لوهه
appetite|اشتيا
appetizer|مشتهي
applause|هلهله
apple|سېب
apple|مڼه
apple|سېب (ان)
apple|مڼه (ې)
apple shiner|غوړمال
apple shiner|چاپلوس
application|تطبيق
application|غوښتنليک
application|درخواست (ونه)
application|عرض پاڼی
application|عريضه (ې)
application|غوښتنلیک
applied|تطبيقي
apply|تطبيقول
apply|لګول
apply|تطبيق کول
apply|درخواست کول
apply|صدقول
apply|عريضه کول
apply|صدق کول
apply a cold or pack to |تبل
apply hot pack|ټکورول
apply mud on a roof|بام کاګلول
apply mud on a roof|بام اخېړول
apply mud on a roof|کاګل کول
applying|جاسوسي
applying of remedy|چاره سازي
appoint|ګمارل
appoint|ګومارل
appoint|ټاکل
appoint|مقررول
appointed|مقرر
appointed|مقررول
appointed|مقررېدل
appointed|منصوب
appointed|وګمارى
appointment|تقرر
appreciate|تقديرول
appreciate|قدر داني کول
appreciation|تقدير
appreciation|قدر داني
appreciator|قدر دان
apprentice ship|شاګردي
approach|نږدې کېدل
Approach March|د تقرب لپاره مارش يا  پرمخ تلل
approaching|راروانه
appropriate|خپلول
appropriate|مقتضي
appropriate|مناسب
appropriate|خپل کول
appropriate|وړ
appropriation|اختصاص
approval|تصويب
approval|منظوري
approve|منظورول
approve|تصويب کول
approved|مصوبه
approximately|تخمينأ
approximately|تخميني
approximately|تخمين 
approximately|طقريبأ
approximately|تقريباً
approximately|نسبي
approximately|کابو
Apreday|اپرېدی
Aprel|اپرېل
apricot|زردالو
apricot|مندته
apricot|زردالو (ان)
apricot with bitter pits|شاړې
April|اپريل
April 21 - May 20|ثور
April 21 - May 20|غويی
aprose writer|ناثر
aquaduct|ترناو
Arabia|عرب
Arabia|عربستان
Arabic|عربي
Arabic alphabet arranged according to the numerical values of the letters|ابجد
arabic name of the letter (ح)|حا
Arabicized|معرب
arable|مزروعي
Arabs|اعراب
arbitration|حکميت
arbitrator|منصف
arch like construction|زربۍ
archaeologist|لرغون پېژندونکی
archaeology|لرغون پېژندنه
archealogical|د لرغون پېژندنی
archealogist|د لرغون پېژندونکی
archestra|ارکسترا
archipelago|مجمع الجزاير
architect|مهندس
architecture|هندسه
archives|ارشيف
Arctic|شمالی قطب
are(these are books) دا کتابونه دي|دي
area|حوزه
area|ساحه
area|مساحت
area|مساحه
area|سيمه
area|علاقه
area|محل
area|ناحيه
area|منطقه
Area Ambush|د ساحې کمين
Area Fire|د ساحې اور يا انداخت
area of expertise|ساحه
area of work|ساحه
Area Reconnaissance|د ساحې کشف
arena|اکاړه
Arghandab|ارغنداو
arguable|د بحث وړ
argue|بحش کول
argue|شخړه
argue|شخړه کول
argue|لفظى شخړه کول
argument|لفظي جګړه
argumentation|بحث
arise|پورته کېدل
arising|ناشي
aristocracy|ارستوکراسي
aristocrat|ارستوکرات
Aristotle|ارستو
arithmetic|حساب
arm|بازو
arm|لېچ
arm|لېچه
arm|لېڅه
arm|مټ
arm of a cot |ړخبنی
arm of a door frame |ليچی
arm that doesn’t work (usually injured by a mine)|شل
armament|تسليح
armed|وسله وال
armed|مسلح
armed opponents|مخالف وسله وال
armed uprising|د ولس پاڅون
Armenian|ارمنی
armful|څنګرۍ
armor|زرهي
armored|زره پوښ
armored|زرهدار
armored|زغروال
armored|زغرهوال
armory|جنه خانه
armory|وسله تون
armour|زغره
armpit|بغل
Armpit|تخرګ
arms|اسلحه
arms|وسله
Arms and Hands Signals|د څنګلو او لاسونو اشارې
army|اردو
army|پوځ
army|لښکر
Army|اردو
army convoy|پوځیانو کتان
army officer|صاحب منصب
army officer|منصبدار
arnament usually made of gold worn hanging from nose|پېزوان
aromatic|معطر
around|چارچاپېره
around|شاوخوا
around|شخ
around|نژدی
around|نږدی
around (travels around earth)|چارچاپره
around this time|دا مهال
arrangance|مرغوړنه
arrange|ترتيبول
arrange|برابرول
arrange|بندوبست کول
arrange|تيارول
arrange|تيرول
arrange|منسجم کول
arrange|بند و بست کول
arrange|سرشته کول
arranged|ترتيب
arrangement|تعبيه
arrangement|انتظام
arrangement|بندوبست
array|لام
arrayal|صف بندي
Arrayal of Forces|د قوتونو صف ﺁرايي 
arrest|توقيف
arrest|توقيفول
arrest|ګرفتارول
arrest|نيول
arrest|بندى کول
arrested|ګرفتارېدل
arrested|توقيف
arrival|توصل
arrival|راتګ
arrival|راتگ
arrival|رارسېدنه
arrival|رسېدنه
arrival |ورتگ
arrive|راتلل
arrive|رسېدل
arrive |رارسېدل
arrive late|ناوخته رسېدل
arrogance|تکبر
arrogance|ښاڅ
arrogant|کلانکاره
arrogant|کلانکاري
arrogant|متکبر
arrogation|مدعا
arrogation|ادعا
arrow|غشی
arsenal|توپخانه
arsenal|جبه خانه
arsenic|سنکيا
art|فن
art|هنر
art|اچر
art|رسم
art of poetry|شاعري
arteries|شيريانى
artery|شريان
article|ادات
article|مقاله
article|ماده
article |سپرکى؟؟؟؟؟؟
articles|ادوات
articles|مضامين
artifact|اثر
artifact|آبدات
artifacts|اثار
artificial|ساختګي
artificial|مصنوعي
artificial|مصنوعى
artificiality|تصنع
artillery man|توپچي
artist|هنرمن
artist|هنرمند
artist|رسام
artistic|هنري
arts|صنايع
arts|صنعت
as|شانته
as|شانتې
as|لکه
as|منزله
as|هسي
as|وسکه
as|په حيث
as|توګه
as|د ... په څيړ
as |په توگه
as a|په حيچ
as a consequence of…|د...په اثر
as a result|د...په نتيجه کى
as a result|له امله
as a result of|د...پواسطه
as a result…|چي ورکې
as a rule|قاعدتاً
as a sphere of influence|د نفوذ ساحى په توګه
as a teacher|صفت
as a teacher|هېث
as a…|په توګه
as a…|په حيس
as a…|په صفت
as always|د تل په شان
as always|د تل په څير
as far as…is concerned|پلوه
as for as possible|حتی الامکان
as for as possible|حتی الوسع
as if|ګواکې
as if|لکه چې
as much as|هرځومره چى
as much as possible|له هرى لارى چى وى چى
as promised|له ژمنې سره سم
as soon as|هر کله چي
as soon as|څنګه چى
as soon as possible|ژرترژره
as soon as possible|ژر تر ژره
as time goes on|د وخت په تيريدو سره
as you know|لکه څنګه تاسى پوهېږئ
as…|څرنګه چې
as…as|هر څومره چى...هغومره
Ascend|پورته کېدل يا پورته ختل
ascending|متصاعد
ascertain|سپينول
asceticism|زهد
Ashab|اصحاب
ashak|اشک
ashamed|خجل
ashamed|زيمته
ashamed|سرټيټی
ashamed|سرځوړی
