A little|لږ
Birth|پیدا کیده
Birthday|سالګره
Blame|پړه/ملامتیا
Blame|تور
Blamed|پړ/پړهٔ
Blank|خانه خالي
Blanket|کمیله
Blood|وینه
Bloody|خونړی
Bloody|خونړۍ
Blotting paper|جاذب
Blues/sad songs|خوشینی
Boat|کښتۍ
Body|(بدن/تن/پږی(س
Border|پوله/ټک/سرحد
Border|سرحد
Boring|خسته کن
Boring|کمرنګ/بې خوند
Boss|آمر/خاوند
Both|دواړه
Bother|مزاحمت
Bottom/always|تل
Boyfriend/buddy|انډیوال
Brand new|نوي نزي
Brand new|نوی نزی
Bravery|زره ورته/سحفامن
Breakfast|د سهار چای
Breath|تنفس/نفس/سا
Broadcast|جپرونه
Broadcast/publication|خپر
Brother-in-law|اخښی
Brother-in-law (husband's brother to the wife)|لیوان
Brother's wife|وریندار
Buddy|اشنا
Buggy|بګۍ
‌Burden/weight|بوج
Business|کار او بار
Business|کار او بار
Business class|اقتصادي چوکۍ
Busy|لګیا/اخته/مصروف/بوخت
Busy|مشغول/لګیا/مصروف/اخته/بوخت
But|بلکې
But|خو
But|مګر/ولکن/لکن/خو
Butchery|قصابي
Butterfly|بورا
Button|غوته
Buzkashi wrestler|چاینداز
By god|په خدای قسم
By means of|په واسطه/ذریعه
Calendar|جنتري
Call to prayer|ازان
Camel/camels|اوښ/اوښان
Camp|پنډغالی
Capital|پلازمینه
Capital|پلازمینه/پایتخت/مرکز
Car hood|بانټ
Career|مسلک
Carrots|رزدکه
Cars and other things that have wheels|اراده
Cart driver|ګادی وان
Castle|ارک
Castle|کلا/قصر/قلا
Casualties|ځاني توان
Cause|علت
Cause|وجه
Cause/reason|سبب/علت/دلیل
Cave|غار/سمڅه
Ceasefire|اوربند
Celebration|تجلیل
Celebration|جشن
Ceremony|مراسم
Ceremony/ceremonies|رسم/مراسم
Certainly|خامخا
Certainly|هرومرو/حتماً/خاماخا
Certainly (for a favor)|په دواړو سترګو
Champion/winner|قهرمان
Chance|موقع
Change|بدلون/فرق
Changes|انکشافات/تحولات/بدلونونه
Chaotic|کډوډ
Charity|خیرات
Cheating|دوکه/فریب
Checkpoint|تالاسي
Checkpoint|د تلاشي ځای
Cheese|پنیر
Chin|زنه
Christian|عیسویان
Church|کلیسه
Cigarette|سګرت
Circle|ګرد
Circumcision (usually done on the seventh day or the seventh year of a child's life)|سنتي
Clapper|چاکی وهونکی
Clash|نښته
Class|ټولکی/صنف
Class/stratum/layer|طبقه
Clean record|پاکه سابقه
Clear|سکاره
Clear|واضح
Clear/transparent|شفاف
Clever/experienced|پوخ
Climate|اقليم
Climb|پایې
Clinic|کلنیک
Close|نژدې/څېرنه/څرنه
Close friend/relative|دوست
Closed|بند
Clothes|جامي/کالي
Clothes|لباس
Cluster bomb|خوشه یي بمونه
Coffee|کافي
Cognate|مفغن
College|پوهونځي
Color|رنګ
Comfort|تسکین
Comfortable|آرام
Comity/committees|شورا/شوراګانې
Common|معموله
Common/public|عمومي
Communication|مکالمه
Communication equipments|مخالرې وسایل
Company|شرکت
Comparison/juxtaposition|مقایسه
Competition|مسابقه/مقابله
Complaint|ناخوابي
Complicated|پيچلې
Concern|اړه/ربط/ارتباط
Confident|مطمین
Confident/Assured|خاطر جمع
Conflicting/contrary|ضد او نقیض
Confused|مغشوش
Connect|وصل
Connection (mathematical/mechanical)|اتصال
Connection/relation/affairs|مناسبات/اړیکي/ارتباط
Consciousness/logical|شعوري
Conservative|محافظه کاره
Constipation|قبض/قبضیت
Consulate|قونسلګري
Content|محتوا
Contextualized meaning|محتوائې معنې
Contract|تړون/بعداد
Conversation|خبرې
Cook|اشپز
Cooked|پوخ
Cookie|کلچه
Copper|مس
Corn|کرنه
Correct|صحیح
Cotton|پومبه
Country|مملکات/هیواد
Country|مملکت/ملک/وطن/هیواد
Court|عدالت
Court|محکمه
Cover/laminate|پوښ ورکول
Coward|ډارن
Coworker|همکار
Crash (plane)|سقوط
Crawling|ذحف
Craziness|جنون
Crazy|لیونی/لیونۍ
Crazy person|مجنون
Created|پیداکړي
Creation|پیدایښت
Creation|خلقت
Creator|خالق
Crew|عمله
Crime|جرم
Crime|جرم
Criminal (adj)|جنايي
Criminal (noun)|جنایت کار/جنایت کوونکی
Cross-eyed|چپک
Cruelties|ظلمونه
Culture|فارهنګ
Current|اوسنی
Current|بهیر
Currently|فعلاً
Customs|ګومرک
Damnation|لعنت
Danger|خطر
Dark|تیاره
Day of birth|تولد ورځ
Day of death|وفات ورځ
Dead body|جسد/مړۍ
Dead person|مړی
Deadly|مرګوني
Death|مرګ
Death|مرګ/مړینه
Debate|مشاجره/مناقشه
Debris|خوارې خځلې
Decade|لسیزه
Decade|لسېزه
Decimal|اشاریه
Decision|فیصله/پرېکړه
Decrease|کموالی
Deep|ژور
Defeat|ماته
Deficiency|نيمګړتيا
Deformity/defect/abnormality|عیب
Delicious|مزه دار
Demand|تقاضا
Democracy|وګړواکي/دیموکراسي
Demon/demons|جن/جنیات
Demonstration|لاریون
Demonstration|لاریون/مظاهره
Demonstration/protest|مظاهره/لاریون
Demonstrator|لاریونال
Denial|نکار
Department|ریاست
Department|قومانداني
Department/Faculty|فاکولته/پوهنځی
Depression|روحي خپګان
Deputy|معاونت
Deputy/assistant|معاون
Desert/outside|صحرا
Deserving|مستحق
Designated place|تاکل شوی ځای
Despite/even though|سره له دې
Detail/details/part/parts|جز/جزئیات
Details|تفصیلات
Details|جزئیات
Detective materials/finding materials/inspection equipment|کشفي وسایل
Developed area|کارته
Development|پر مختک/پر پیشرفت
Development|پراختیا
Devolution/retreat/retrograde|شا ته تګ
Diagnosis|تشخیص
Diamonds|الماس
Diet|پرهېز
Difference|اختلاف
Difference|توپیر
Different/various|بېلابېل
Difficult/complicated|مغلق
Dignified|برهمن
Dignity|برم
Disabled|معیوب
Disappointment|مایوسي
Disaster|افت/مصیبت/ناورین/فاجعه
Disaster/disasters|بلا/بلاګانې
Discount|تخفیف
Discount/favor|مراعات
Dish|لوښی
Dishes/silverwear|ظرف/لوښی
Disowned|عاق
Dispute/puzzle|جنجال
District manager|ولسوال
Divide|تقسیم
Divorce|طلاق
DMV|د ترافیک ریاست
Do you remember|ستا په یاد دی/یادیږی
Do your best and don't expect anything else|ښه کوه په دې یار کې واجوه
Document|سند
Documentary|مستند
Documented|مستند
Domestic|داخلي
Domestically produced|وطني ساخت
Don't be miserable (in response to don't be tired)|خوار مه شۍ
Dorm|لیلیه
Drown|غرق
Drug store|درملتون
Due date/final date|وروستۍ نیټه
During|په دوران کې
During|په دوره کې
During|د ... په/بهیر/جریان/ترځ/په اوږدو کې
Dust|دوړي
Earlier|تر دې د مخه/مخکې له دی
Early morning breakfast during|پېشلمۍ
Economic development|اقتصاد وده
Edible/serving|خوراک
ٍEducation|ښوونه
Education and training|معارف/تعلیم او تربیه/ښوونه او روزنه
Effectively|په موثر ډول
Egg|هګۍ
Eid money given to children to celebrate|عیدي/اختري
Elections|ټاکنې
Embassy|سفارت
Embroidery (larger)|ګلدوزي
Embroidery (small)|خامکدوزي
Emergency|عاجل
Emergency assistance|عاجلي مرستي
Empty|تش
End|حنمن
End|یای/ختم/اخیر
Enemy|دښمن
Enough|بس
Enough|کافي
Entertainment|ساعت تېری
Envelope|د خط پاکټ
Environment|چاپیریال
Episode|قست
Equals|مساوی
Equivalent/similar thing|ساری
Especially|حوصواً
Evaluation/inspection|تفیش
Every|هر
Everyone|هر څوک/ټول کسان
Exactly/exactly alike|کټ مټ
Example/model|نمونه
Excavation|استخراج
Excellent|اعلی
Exception|استثنا
Excessive use|بې دريغه کارول
Exchange|عوض/الیش/بدل
Excited (Persian)|هیجان
Excitement|هیجان
Excuse|بعانه
Excuse/pretending|بهانه/پلمه
Execution|اعدام
Exhibition/Stadium|ننداری
Expectation|طمع
expectation/hope|تمه
Experience|تجربه
Experienced|مجبرب
Explanation|تشریح
Explanation/clarity|وضاحت
Explanation/description|شرحه
Extra|اضافه
Extraordinary|فوق العاده
Extreme sincerity|د زره آواز
Extremism|تشدد
Extremist|سخت دریزۍ/بنسټ پالی
Eyebrow|ورځه
Eyelash|باڼه
Eyewitness|عیني شاهدان
Face|څېره
Face|مخ
Facilities|سهولت/اسانتیا
Fact|واقعت
Factors|عوامل
Faith|ایمان
Fake|بدل
Fake|جعلي
Fake|جعلي
Falcon|باز
Fall|خزان
0|غلط
Fame|شهرت
Familiar|آشنایی
Family|فامیل
Famine/hunger|لوږه
Famous|غښتلی/مشهور/نامتو
Famous|نامداره
Famous|نومور/مشهور
Fan|پنکه/پکه
Fan|تماشاچی
Fantastic|اعلی/اعلي
Fast|تیز
Fast|تیز
Fast food restaurants|چټکوغذاوو رستورانتونه
Fate|نصیب
Fate/destiny|برخلیک
Favorite|د خوښی
Fear|دار
Fear/nervousness|اضطراب
Felt|محسوس
Female sheep|میږې
female(animal)/article/supply|ماده
Fertilizer|پارؤ
Fever|تبه
Fiance|نامزد/کوږدن/کوژدن
Field|میدان
Fighters|جنګیالي
Filler word|تکیه کلام
Financial loss|مالي زیان
Financial problems|مالي مشکلات/اقتصادي مشکلات
Fire|اور
Firefighters (as a group)|اطفایه
First class|لومړۍ درجه
First-world|پرمختللي
Fish|ماهی
Fixed/healthy|جوړ
Flag|بیرغ
Flea market/Second hand market|لیلامي مارکېټ
Flight|پرواز
Focus/thought about deeply|غور کول/دقت کول
Food|خواړه/ډوډۍ
Food|ډوډۍ
Food on the table/income|نفقه
For|د ... لپره
For example|مثلاً
For/since|راهیسی
Forbidden|ممنوع
Force|قوت
Foreigner|بهارني/حارجي
Forgiveness|عفوه
Formation|تشکیل
Fortunately|له نیکه مرغه/خوشبختانه
Foundation|بنسټ
Founder|بنستګر
Fox|ګیدړ/ګیدړه
Fractured|درز
Fragile|نازک
Fragrance|خوشبوي
Fraud/corruption|درغلۍ
Free (monetary)|مفت/وړیا
Free/unemployed|وزګار
Freedom|خپلواکۍ
Fresh|تازه
Fridge|یخچال
Friend|آشنا
Friend/bro|یار/انډیوال
From his mouth/quoting him|د خولۍ لیکل
Fruit|مېوه
Full|ډک
Full person|موړ
Fun|مزه
Fun/break|تفریح
Fun/Joyous|لذت بخش
Fund (for donations)|صندق
Funny movie|خنداوره فلم
Fur coat|پوستينچه
Future|ایٔنده/راتلونکی
Garbage can|کثفت دانی
Garden|بڼ/باغ
Gardener|بڼوال/باغوان
Gender/item|جنس
Generation|نسلون
Genetically modified seeds|اصلاح شوی تحمونه
Gift|تحفه
Girls|نسوان
Goal|موخه/هدف/مقصد
Goal/Target/Purpose|قصد/هدف
God willing|إن شاء الله
Going|روان
Going|روان
Government|دولت
Government officials|چارواکو
Governor|والی
Grain/seed|دانه
Grave|قبر
Green belt (are in cities designated for vegetation)|زرغون کمربند
Groceries|سودا
Group|ډله
Guarantee|ګرنټۍ
Guaranteed|په زمه واری
Guard|محافظ/ساتونکي/پهره دار
Guards|مغضفین
Guilty|مجرم
Habit|عدات
Hair|ویښتان
Half|نیمه
Hand cart|لاسي ګادۍ
Handmade|په لاس جوړ شوی
Hanging|ځوړاند
Happiness|خوښیمي/خوشالي
Hard|شاقه
Hardhat|ټوپۍ
Harm|صدمه/زیان/توان/نقصان
Hat|خولۍ
Have your body blown up into pieces|لنګ اولاښ
He cried|ژړل
Headache/Problem|سرخوږي
Headmaster|سره معلم
Health|صحت
Health|عافیت
Healthy|روغ
Heart|خوا
Heart|زرهٔ
Heart|زرهٔ
Help|کومک/مرسته
Help|مرسته/کومک/بسپنه/مدد
Henna|نکریزې/حناء
Herbal medicine|زنیکي دوا/کلیوالي دوا
Here|دلته/دلې
Hero|اتل/قهرمان
Hero|قهرمات
Heroism|اتلولي/قهرماني
Hiccup|سوګلۍ/سلګۍ
Hidden|پت
High school|لیسه
Higher education|لوړو زده کړو
Hill|تیه/غونډۍ
Hilly|غیراضي
Historic trip|تاریخي سفر
History|تاریخ
Holy|مبارکه
Homework|کورنی کار
Homicide|وژل
Honor|ویاړ/افتخار
Honorable|عزتمن
Hookah|چلم
Hope|هیله
Horror|د بیري فلم
Hostilities|خصم/دښني/عداوت/بغض
House of representatives.|ولسي جرګه
Housewife|د کور میرمن
How are you/What kind|څه رنګ
How do you say?|څنکه وایی
How many|څو
How much|څومره
How/Outside|څنګه
Hug|غیږ
Human|انسان
Humanitarian|بشري
Hunting|ښکار
I agree|موافق
I am going to be late|په ما باندی ناوخته کیږي
I am going to piss|اودس ماتولو ته ځم/صحرا ګشت/جواب چای ته ځم/رګ وهل
I can't believe it|هیڅ باور مې نه کېږي/زما زړه ته نه لوېږي‌
I don't care|زه د هیڅ چا پروا نه لر
I really miss my country|د وطن یاد مې په اوښکو مینځلو
I think/it seems like/it appears|لکه څه/چې
Identification|هویت
Identity|هویت
If I had yesterday's thought today|که د نن عقل پرون وای
If the brother looks good, take the sister|ورور یې کسه خور یې نسه
If you don't have money, don't eat sweet things|چې نه لرې پیسې مه خوره پتاسې
Ignorance|جاهلیت
Ignorant|جاهل
Immediately|په فوري دول
Immediately|دستي
Immediately|دېر ژر/په چټکۍ/ په چټکي/بې ځنډه/سمد ستې/سمدلاسه
Impact|اغیزه
Impatient|بې حوصلې
Import|وارد
In a good way|په ښه توګه
In fact/in actuality|واقعاً
In front of|مخی ته/مخکی
In order to|د دې لپاره چې
In trouble|عذاب
In-laws|خسرکنۍ
Inappropriate|ناوړه
Incident|پیښه
Incident|پیښه
Income|عاید/عایدات
Industry|صنعت
Influence|آغیزه/اثر/تاثیر
Influential person|بانفوذ
Information|معلومات
Informed|آګاه
Inheritance/heritage|میراث
Innovator|نوښتګر
Inside|دننه
Instruction/instructions|هدایت/هدایات/لارښوونه
Insult|تحقیر/سپکاوی
Insurance|بیمه
Intelligence|استخبارات
Intent|نيت
Intention|نیت
Intention|نیت
Interesting/funny|جالب
Interference|لاس وهنه
International|بین المللي
International community|بین المللي ټولنه
Interview|مرکه
Interview|مصاحبه
Intoxicated/too drunk|نشه
Intoxicating materials|نشیي مواد
Invention|اختراع
Inventor|مخترع
Investigation|تحقیق
Investigation|څیړنه
Investor|پانګاوال
Iron|اؤتؤ
Irregular|بېقاعده
Is it correct|سمه ده
Island|اجزیره/ټاپو
Island|جزیره
It cannot be done that way|مونږ په دې رقم/ډول سره نه کېږي
It depends/it has a relation or need for that|اړه لري
It is obvious|ښکاره ده
It is okay|ټیک ده
It multiplies to zero|په صفر کې ضرب دي
Item/items/goods/materials|جنس/اجناس
Jacket|کوټ
Jail|بندي خانه
Jaw|زامه
Jealous|تنګ نظر
Jewelers|زرګري
Job|دنده
Job|کاره
Joke|توک
Judge|قاضی
Judge|قاضی
Judgment|قضاوت
Junior high school|متوسطه
Justice department|عدلیه ادارې
Kidnap|تښتتول
Kidney|بډوډ
Killer|قاتل
Kind|میهربان
Kindness|لطف
Kiss|مچ
Kitchen|اشپز خانه
Knot|غوټه
Lack of/missing|کمبود
Lack of/scarcity|نشتون
Lame/Crippled|ګوډ
Lamp|وري
Late|ناوختي
Late morning|څاښت
Late/Deceased|ارواښاد/مرحوم
Later|وروسته تر هغه/وروسته (لهٔ هغې)، بیا
Laugher|خندانه
Laughter|خندنی
Lawyer|وکیل
Lawyer|وکیل
Lazy|ټمبل/لټ
Lazy|لټ
Lazy|لټ
Leader|رهبر
Leader|رهبر/رهبره
Leader|سرپرست
Leadership|رهبري
Leather making|چرمدوزي
Leek|ګندنه
Leek|لیک
Legal|قانوني
Length of sentence|د قید وخت
Less than|تر ... کمه ده
Lesson|سبق/درس
Letter|خط/لیک/نامه/مکتوب
Lettuce|كاهو
Level|سطح
Level|سویه
Liberal/Progressive|دیموکرات
Libertarians|ازادي غوښتوکی
Library|کتابتون
License|جواز
Light|سپک
Lighter|اور لګید
Like a tree I stand straight in my place, whether it is spring or winter|لکه ونه مستقیم پر خپل مقام یم، که خزان راباندي‌ راسي که بهار
Like this|داسي
Limited|محدود
Line|قطار
Line|کشه
Line/Letter/Scratch (on an object)|خط
Linguist|ژب پوه
Lip|شنده
Lips|شونډ
Liquid|مایع/مایعات
Listening|اورېدنه
Literal meaning|تحتُ الفظي معنې
Live broadcast|ژوندۍ بڼه
Livingstyle|کوزاره
Local|ځایي
Local|سیمه یز
Local|محلي
Local|محلي
Local time|ځایي وخت
Located|موقعیت لري/پروت دی
Located|واقع
Location|موقعیت
Logic/reason|دلیل
Logical|معقول
Loneliness|تنهایي
Long|اوږد
Look down on|توهین/اهانت/په ټیټه سترګه کتل
Looted|لوټ
Loss|نقص
Lovable|مینه ناک
Love|مینه
Love (person)|معشوق
Low|کښته
Lower village|کوز کلی
Lumber|جارتراش
Lust/desire|هوس
Mad man (Atal)|غضبناک
Made|ساخت
Magic|جادو
Magician|جادوګان
Majority|اکثریت
Majority|اکثریت
Make sure|فکر دې وي
Male sheep|پسونه
Male sheep|پسونه
Malediction, curse|ښرا/ښیرا
Malnourished/impoverished|خوار
Man|نر
Management/administration/leadership|اداره
Manager|سمبالګر
Many times|څو ځلي
Market/Sales|فروش
Martyr|شهید
Martyr|شهید
Martyrdom|شهادت
Mattress|توشک
Maximum|حداکثر/زیاترین
May god be with you (good luck)|خدای دې مل شه/خدای دی درسره وي
May you enjoy it|نو شِ جان دی
Mayor|ښاروال
Meanwhile|په عین وخت/حال کې
Measures|تدابیر
Meat|غوښه
Mechanic|مستري
Mechanical engineers|مسلکي‌ انجینران
Media|رسنۍ/مطبوعات
Media|مطبوعات/رسنۍ
Medical worker|صحي کارکوونکی
Members|کډونوال/غضوه/غړی
Membership|غړیتوب
Memorial day|د یاد ورځ
Memory|خاطره
Menstruation|موده/حیض
Mentally|جسماً
Mentioned|مذکور
Mercy|رحم
Metal|اوسپنه
Metal|فلز
Middle|منځنې
Middle class|منځنۍ کچه
Middle East|منځنی ختیځ
Middle East|منځنۍ ختیځ/شرق الاوسط
Middle finger|منځوی ګوته
Midnight|نیمه شپه
Military|اردو
Military Parade|شاخیز
Mine detector|ماین پال
Minimum|کمترین/حداقل
Minister|وزیر
Minor|پر کم سنه ماشوم
Minority|اقلیت
Minority|لږه کې
Mirror|ښیښه
Misleading|تیر ایسته
Missing|لاپته
Mistake|غلطي
Moderate|براربه
Modern|متمدن
Monarchy|پاچهي
More|اکثر
More than|تر ... دومره زیاته
More than|نور هم/لا
More than one-hundred|له سلو څخه زیات
Mosquitoe|غوماش
Mother-in-law|خواښی
Motive/motives|غرض/اغراض/هدف/اهداف
Movement/move from one place to another|هجرت
Mr. (respectful title)|صاحب
Muffler|سلنسر/دود کش
Mule/mules|کچره/کچرې
Multiply|ځرب
Mummy|مومیایي
Murdered person|مقتول
Muscle/muscles|ٌعضله/عضلات
Music|ساز
Must|باید حتماً
Mustache|برېتونه
Mutual trips between family and friends|راشه درشه
Nail|نوک/نوکان
Nail/nails|نوک/نوکان
National|ملی
National directorate of security (Afghanistan's intelligence agency)|د ملي امنیت ریاست
Natural|صحرايي
Necktie|نیکتایي
Needy|در په ډره
Neighbor|ګاونډی
Neighbor|ګاونډی/همسایه
Nephew/nephews|وراره/وریونه
Nervous|عصبی
Network|شبکه
Network|شبکه
News caster|نطاق
Newspaper|ورځپاڼه
Night|لیل/شپه
Night curfew (In many cities in Afghanistan)|د شپې ګرځیدنی بندیز
Night letter|شپه پانه
Non-violence|عدم تشدد
None/nothing|هیڅ
Nonsense|بې کاره
Nostrils|سږمه
Not functioning correctly|منظم/غیر منطم
Note/remark/consideration|ملاحظه/ملاحظات
Noticeable|پام وړ
Noun|اسم
Now|فیلحال
Nowadays|نن سبا
Obesity|چاغښته
Obliged|اړ
Observer|تفتیش
Obstacle|خند
Obstacles|موانع/مانع
Obviously|ظاهراً
Ocean|بحر/سمندر
Off/free|چوټی/رخصت
Office|دفتر
Office uniform/Dress uniform|دفتري یونیفورم
Oil|غوړي
Oil/gas|تیل/پطرول/ګاز/غاز
Old|پحوانی
Older|مشر
On duty person|نوکري وال
On the internet|د انترنټ د لارې
On top of|د پاسه
One after another|پر له پسې
One arrow, two targets (trying to learn Pashto but getting taught 100 other languages)|یو تیل، دوه نښانه
One-hundred percent|سل به سل کې/سل فیصل
Onion|پیاز
Only|خوشي/هیسي/مخفي/فقط
Only|صرف/فقط/محضي
Only|مازي/صرف/فقط/یواځي
Open|اراد نظر
Operation|عملیات
Opinion|نظر
Opinionated/theoretical|نظري
Opportunity|زمینه
Opposite|تاورته/مخالف
Optimism|خوشبیني
Optimist|خوشبین
Option|انتخاب
Or|که/یا
Order|امر
Order|امراو
Organization|موسیسه
Organization (more political)|جبهه
Organizer|ناظم
Original|اصل
Originally|اصلاً
Orphans|یتیم
Outcome|انجام
Outside|بهر/د باندی/بیرون/خارج
Owl|بوم
Owner|څښتن/مالک/خاوند
Pacifier|جوشک
Package/envelope|پاکټ
Page|پاړنه/مخ/صفحه
Pain medication|د درد دوا
Palm|اوړغوی
Parade|رسم ګذشت
Paradise|جنت
Parents|والدین
Parking lot|تم ځای
Parking lot|تم ځای
Part|قشر
Part/side|پلوه
Particularly|په تيره بيا
Partner|شریک
Party|میلمستیا
Party/group|تنظیم/حزب/ډله/ګروپ
Pashtoon area|پښتونخوا
Passenger|سورلی
Patience|حوصله
Payday|د معاش ورځ
Peace be upon him|علیه اسلام
Peach|شفتالو
Pear|ناک
Pedestrian|پلی
People|وګړي
People in need|اړ
Permanent|دایم
Permission|اجازه
Person|تن/نفر/کس
Person/people|فرد/افراد
Pessimism|بدبیني
Pessimist|بدبین
Photography studio|عکاس خانه
Physically|فکراً
Picture|انځور
Pidgeon|کوتره
Piece|قطعه/ټوټه
Pilgrim|زیارتکوونکی
Pilgrims|حاجيان
Pillow|بالښت
Pills|ګولۍ
Pinky finger|خچنه ګوته
Pipe|نل
Pistol|توپاچه/تفانچه/تومانچه
Place|ځای
Place of worship in Mecca|حرم شریف
Plain|الوتکه
Plan|تان
Plant|بوټى
Player|بازیګر
Player|لوبغاری
Players|لوبغاړی
Plenty|پرېمانه
Plus|جمع
Pocket|جیب
Pocket money|د مدت معاش
Pointer finger|شهادت کوته
Police commander|امینه قمندان
Political observers|سیاسي کتووکی
Politician|سیاستوال
Politics|سیاست
Polluted|ملوث
Pollution|ککړتیا
Pool|د لمبل حوض
Poor|مسکین
Poor guy/girl (someone you feel bad for) `|بېچاره/بېچاره ګۍ
Poor/miserable|بېوزل
Population|نفوس/نفوز
Pork|خوږ/خوګ
Porter|جوالی
Positive|مثبت
Potato|پتاتې/کچالو/آلوکان
Poverty|خوارۍ/غریبۍ
Poverty|فقر
Power|واکمنۍ
Power/force|ځواک/قوت/قدرت/واک/لښکر/پوځ
Practical|عملي
Practically/in reality|عملاً
Practice|مشق
Practice/exercise|مشق
Prayer rug|مصلا/ځای نماز
Precautions|تدابیر
Precedent|ساری
Precinct|څارنوالی
Precipitation|اورښت
Precise number|کره شمیره
Precise/correct information|کره معلومات
Pregnant|حامکه داره
Presence|شتون
Present|اوسنۍ/حال
President|ولسمشر/جمهور رئیس
Presidential Palace|ارګ
Pressure|فشار
Pretty/beautiful|زېبا
Price|پلور
Price|قیمت
Priests/religious leaders|اخندان
Prime minister|صد راعظم
Priority|لومړیتوب
Probably|ښایي/شاید/کېداسي
Problem|عوارض
Problem|لانجه
Product|مصولات
Progress|پرمختک
Prohibited|منع
Prohibited|منع
Promise|وعده
Propaganda/propagandas|تبلیغ/تبیغات
Prosperous|اباد
Prostitute|فحشه
Prostitutution|فحشا
Protector|ساتندوي
Provocation|لمسون
Publications|نشرات
Pulse|نبض
Pupil|د سترګو تور
Puppet|ګوډاګۍ
Quantity|ظرفیت
Quantity (uncountable items)|مقدار
Quickly|چټک/په چټکۍ
Quickly|فوري
Quiet|کراره
Quran|قران
Race|نژاد
Racial|نژادي
Racist|نژادپال
Raised concerns|را پیدا شوو اندېښنې
Raisins|کشمش
Raisins|کشمش
